price,latitude,longitude,city,operation,surface,rooms,elevator,parking
2700,40.431606,-3.6948316,Barcelona,rent,96,3,1,0
2200,40.467365,-3.6741362,Barcelona,rent,132,2,1,0
1390,41.41099,2.1819692,Barcelona,rent,69,2,1,0
750,37.89137,-4.783929,Barcelona,rent,94,2,1,0
1000,41.40972,2.145112,Barcelona,rent,165,2,0,0
650,37.606377,-0.992982,Barcelona,rent,47,1,1,0
1200,41.551937,2.1117468,Barcelona,rent,86,2,1,0
1850,41.39921,2.1544752,Barcelona,rent,85,2,0,0
1600,41.384136,2.1274054,Barcelona,rent,113,3,1,0
2400,41.431976,2.237797,Barcelona,rent,118,3,1,0
1790,39.457935,-0.34647238,Barcelona,rent,120,4,1,0
1900,41.397667,2.1932547,Barcelona,rent,110,3,0,0
1300,41.37779,2.1633961,Barcelona,rent,40,1,0,0
1500,39.463676,-0.33128446,Barcelona,rent,75,2,1,0
2900,40.44362,-3.6974537,Barcelona,rent,160,3,1,0
1100,42.8045,-1.693407,Barcelona,rent,100,3,1,0
1600,41.421684,2.1975274,Barcelona,rent,72,3,1,0
650,38.471893,-0.8015488,Barcelona,rent,105,3,1,0
630,38.004444,-1.1415493,Barcelona,rent,75,1,1,0
2100,40.486618,-3.6654375,Barcelona,rent,135,2,1,0
1500,39.535336,2.7197034,Barcelona,rent,70,1,1,0
1200,39.470753,-0.37905577,Barcelona,rent,85,2,0,0
700,43.535534,-5.6581063,Barcelona,rent,55,1,1,0
1400,41.38383,2.1747215,Barcelona,rent,75,2,1,0
2000,41.383595,2.1482444,Barcelona,rent,98,4,1,0
1850,41.46867,2.071559,Barcelona,rent,133,3,1,0
1550,41.409763,2.1723628,Barcelona,rent,78,2,1,0
800,37.968117,-1.2174538,Barcelona,rent,140,4,1,1
1700,41.377155,2.1390858,Barcelona,rent,103,3,0,0
2400,40.43478,-3.7186882,Barcelona,rent,90,2,1,0
2900,41.389,2.1750548,Barcelona,rent,177,3,1,0
1350,39.47436,-0.38629967,Barcelona,rent,100,2,0,0
2200,41.481194,2.0725074,Barcelona,rent,95,3,1,0
1390,41.400158,2.1567495,Barcelona,rent,45,1,1,0
220,37.33279,-2.30531,Barcelona,rent,106,3,1,0
5850,40.448208,-3.688331,Barcelona,rent,350,4,1,0
